Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Mihailo Ristić,-0.021,-0.016,-0.004,0.99,1995,23.0,Ligue 1,Montpellier,Serbia,WB,"LB, LM, CM",10.3,8.5,25.7,-7.3,1.0,1.3,0.7,48.5,14.3,0.0
Mijat Gaćinović,-0.001,-0.012,0.011,1.44,1995,24.0,"Bundesliga, UEL",Eintracht Frankfurt,Serbia,AM,"ST, CM",11.1,8.6,27.8,-20.2,1.2,1.0,1.2,44.7,14.8,0.0
Mijat Marić,-0.007,-0.005,-0.002,0.0,1984,35.0,UEL,Lugano,Switzerland,CB,,8.8,8.1,21.8,-7.8,1.4,0.9,1.2,54.0,12.8,0.0
Mikael Lustig,0.0,-0.011,0.011,1.6,1986,32.0,"Belgian Pro League, UEL",Gent,Sweden,RB,CB,7.8,8.2,22.5,-8.2,1.2,0.8,0.7,55.3,13.4,0.0
Mike Cestor,0.001,-0.001,0.001,0.0,1992,27.0,UEL,CFR Cluj,DR Congo,CB,,8.8,9.5,23.3,-6.3,1.1,1.2,1.0,60.2,12.9,0.0
Mike Frantz,-0.011,-0.012,0.0,0.46,1986,32.0,Bundesliga,Freiburg,Germany,CM,"AM, DM, ST",9.8,9.3,24.0,-7.8,1.0,1.0,1.0,49.1,13.6,0.0
Mike Jensen,-0.033,-0.028,-0.004,0.0,1988,31.0,UEL,"APOEL, Rosenborg",Denmark,CM,"LM, RM",10.6,11.1,24.0,-8.7,1.1,1.3,1.2,49.0,13.1,0.0
Mike Maignan,0.057,-0.009,0.066,4.59,1995,24.0,"UCL, Ligue 1",Lille,France,GK,,3.1,2.5,30.0,-5.8,0.4,0.3,0.5,54.7,9.8,0.5
Mike Trésor,-0.04,-0.034,-0.007,1.63,1999,20.0,Eredivisie,Willem II,Belgium,CM,"AM, RW, DM",16.6,11.0,30.8,-12.2,0.8,0.8,3.2,38.6,16.4,0.0
Mike te Wierik,-0.069,-0.031,-0.038,1.75,1992,27.0,Eredivisie,Groningen,Netherlands,CB,,6.0,8.8,16.6,-4.5,1.5,1.0,0.8,50.9,10.6,0.0
Mike van Duinen,-0.052,-0.046,-0.007,0.78,1991,27.0,Eredivisie,Zwolle,Netherlands,ST,LW,10.1,8.1,29.9,-7.0,0.9,0.8,1.0,45.4,14.8,0.0
Mikel Agu,0.016,-0.001,0.017,1.86,1993,26.0,"Primeira Liga, UEL",Vitória,Nigeria,DM,CM,8.1,7.9,19.3,-7.4,2.3,2.3,0.5,53.1,11.0,0.0
Mikel Balenziaga,-0.022,0.009,-0.031,0.69,1988,31.0,La Liga,Athletic Bilbao,Spain,LB,,7.7,8.3,24.3,-6.3,0.9,1.3,1.1,56.8,13.5,0.0
Mikel Merino,0.019,-0.0,0.019,4.82,1996,23.0,La Liga,Real Sociedad,Spain,DM,"LM, CM",13.5,13.1,25.6,3.7,1.7,1.7,0.4,60.1,18.5,0.0
Mikel Oyarzabal,0.042,0.033,0.009,5.19,1997,22.0,La Liga,Real Sociedad,Spain,LW,"AM, LM, RM, CM",14.0,9.5,29.7,-1.6,0.7,0.7,1.1,43.1,16.4,0.0
Mikel San José,-0.005,0.012,-0.016,0.48,1989,30.0,La Liga,Athletic Bilbao,Spain,DM,CM,9.1,8.3,23.8,-9.2,1.5,1.1,0.9,52.3,13.5,0.0
Mikel Vesga,-0.011,-0.003,-0.008,1.65,1993,26.0,La Liga,Athletic Bilbao,Spain,DM,CM,9.3,8.5,22.1,-10.1,2.0,1.3,0.6,54.5,12.8,0.0
Mikhail Kerzhakov,-0.008,0.007,-0.015,0.0,1987,32.0,UCL,Zenit,Russia,GK,,7.6,7.4,23.4,-5.8,0.9,0.8,1.0,54.7,12.5,-1.6
Mikkel Kaufmann,-0.012,-0.009,-0.003,0.0,2001,18.0,UEL,FC Copenhagen,Denmark,ST,,10.3,8.4,25.0,-7.3,1.0,1.0,1.0,38.0,13.4,0.0
